url,title,rent_price,expenses_price,location,icon-stotal,icon-scubierta,icon-ambiente,icon-bano,icon-cochera,icon-dormitorio,icon-antiguedad,icon-orientacion,general_features,icon-toilete,features,icon-luminosidad,icon-disposicion,icon-inmueble
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-costa-esmeralda-56253864.html,Casa · 210m² · 5 ambientes,USD 430.000,Expensas $ 500.000,"Deportiva al 100, Deportivo I, Costa Esmeralda",1020 m² tot.,210 m² cub.,5 amb.,3 baños,,4 dorm.,1 años,O,; ; ; ; ; ,1 toilette,,Muy luminoso,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-3-ambientes.-nicolas-vedia-al-1600-55021199.html,Departamento · 57m² · 3 ambientes,USD 177.000,No disponible,"NICOLAS VEDIA 1600. Entre Av. libertador y 11 de septiembre, Núñez, Capital Federal",62 m² tot.,57 m² cub.,3 amb.,1 baño,,2 dorm.,20 años,N,,,,,Frente,
https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-cabildo-boulevard-2502-fecha-de-entrega-2027-54112197.html,No disponible,No disponible,No disponible,"Cabildo 2502, Belgrano, Capital Federal",,,,,,,,,,,No disponible,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-vendo-apto-credito-duplex-2-dorm-lomas-del-chateau-50888235.html,Casa · 76m² · 2 dormitorios · 2 cocheras,USD 110.000,No disponible,"paloma, Lomas del Chateau, Córdoba",128 m² tot.,76 m² cub.,,1 baño,2 coch.,2 dorm.,3 años,,Apto crédito,1 toilette,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-urca-country-barrancas-amplia-luminosa-y-calida.-48377057.html,Casa · 414m² · 3 dormitorios · 3 cocheras,USD 600.000,No disponible,"Urca, Country Barrancas, Amplia, Luminosa y Cálida., Córdoba, Córdoba",1191 m² tot.,414 m² cub.,,5 baños,3 coch.,3 dorm.,18 años,,; ; ; ; ,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-barrio-costa-esmeralda-55930054.html,Casa · 214m² · 10 ambientes,USD 710.000,No disponible,"Barrio Costa Esmeralda, Marítimo III, Costa Esmeralda",1000 m² tot.,214 m² cub.,10 amb.,7 baños,,5 dorm.,A estrenar,N,; ; ; ; ,1 toilette,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-ph-3-ambientes-venta-villa-pueyrredon-56113534.html,PH · 52m² · 3 ambientes,USD 130.000,No disponible,"HABANA 2400. Entre Artigas y Zamudio, Villa Pueyrredón, Capital Federal",72 m² tot.,52 m² cub.,3 amb.,1 baño,,2 dorm.,50 años,SE,,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-monoambiente-apto-credito-moreno-56425473.html,Departamento · 38m² · 1 ambiente,USD 45.000,Expensas $ 70.000,"Nemesio Alvarez al 500, Moreno, GBA Oeste",41 m² tot.,38 m² cub.,1 amb.,1 baño,,,8 años,S,; ; ; ,,,,Contrafrente,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-casa-living-departamento-en-las-lomas-de-san-isidro-56325240.html,Departamento · 177m² · 4 ambientes · 2 cocheras,USD 780.000,Expensas $ 800.000,"Casa Living - Int. Tomkinson al 2000, Lomas de San Isidro, San Isidro",219 m² tot.,177 m² cub.,4 amb.,3 baños,2 coch.,3 dorm.,A estrenar,N,; ; ; ; ; ,1 toilette,,,Frente,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-de-3-plantas-en-venta-con-vista-y-salida-directa-55958157.html,Casa · 564m² · 8 ambientes · 4 cocheras,USD 1.950.000,No disponible,"Barrio El Yacht, Nordelta, El Yacht, Nordelta",564 m² tot.,564 m² cub.,8 amb.,5 baños,4 coch.,4 dorm.,A estrenar,,; ; ; ; ; ; ; ,1 toilette,,Muy luminoso,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-venta-casa-ph-4-amb-caseros.-jardin-piscina-y-parrilla-55915413.html,PH · 88m² · 4 ambientes,USD 129.500,No disponible,"Maestra Baldini 2100. Entre Wenceslao de Tata y Amadeo Sabattii, Caseros, Tres de Febrero",186 m² tot.,88 m² cub.,4 amb.,1 baño,,3 dorm.,5 años,NE,; ; ; ; ; ; ; ,,,,Interno,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-3-dorm.-2-banos-cocheras-323-56390937.html,Casa · 100m² · 4 ambientes · 1 cochera,USD 175.000,No disponible,"Venezuela e Intendente Pérez Quintana, Ituzaingó, GBA Oeste",323 m² tot.,100 m² cub.,4 amb.,1 baño,1 coch.,3 dorm.,A estrenar,N,; ; ; ; ; ; ; ,1 toilette,,Muy luminoso,,
