Cantidad_plantas,Pileta,Apto_credito,antiguedad,dormitorios,cocheras,baños,ambientes,m2_totales,m2_cubiertos,expenses,price,vivienda,latitud,longitud,precio_m2_cercano
1,no,no,0.0,3.0,2.0,3.0,,250.0,150.0,,270000.0,Casa,-34.0,-64.0,1243.8566781842085
1,no,no,0.0,3.0,1.0,2.0,4.0,181.0,127.0,,265000.0,Casa,-34.65582,-58.65836,1307.7221925284136
1,no,no,0.0,3.0,2.0,2.0,4.0,200.0,125.0,,250000.0,Casa,-34.6071119,-58.6848208,732.5736478175145
1,no,no,10.0,3.0,1.0,3.0,4.0,200.0,120.0,,240000.0,Casa,-34.65582,-58.65836,1334.1310323074192
1,no,no,30.0,3.0,3.0,2.0,4.0,200.0,200.0,,245000.0,Casa,-34.65582,-58.65836,1296.9881751645623
2,sí,no,35.0,4.0,3.0,3.0,5.0,173.0,147.0,,265000.0,Casa,-34.6291193,-58.6711001,1120.0829548121585
1,no,no,20.0,2.0,2.0,2.0,3.0,166.0,166.0,,300000.0,Casa,-34.6529778,-58.6684284,1296.9881751645623
1,no,no,10.0,3.0,,2.0,4.0,250.0,150.0,,250000.0,Casa,-34.0,-64.0,1251.8566781842085
1,no,no,0.0,3.0,1.0,3.0,4.0,250.0,150.0,,270000.0,Casa,-34.65582,-58.65836,1346.1310323074192
1,no,no,15.0,3.0,,2.0,4.0,196.0,132.0,,245000.0,Casa,-34.0,-64.0,1226.8566781842085
1,no,no,24.0,3.0,2.0,2.0,4.0,155.0,140.0,,249000.0,Casa,-34.6143283,-58.6787946,728.7394414005514
1,no,no,20.0,4.0,2.0,2.0,5.0,1032.0,180.0,,310000.0,Casa,-32.94682,-60.63932,1392.635321063252
1,no,no,0.0,1.0,1.0,1.0,2.0,203.0,51.0,,180000.0,Casa,,,
1,no,no,20.0,1.0,,1.0,2.0,45.0,41.0,267000.0,141900.0,Departamento,-34.5529006,-58.4668737,2969.580268350954
1,no,no,40.0,3.0,1.0,2.0,5.0,268.0,140.0,,109999.0,Casa,-31.4135,-64.18105,887.4074230569698
1,no,no,0.0,3.0,2.0,2.0,4.0,169.0,156.0,800000.0,570000.0,Departamento,-34.58333,-58.4,2641.355566077157
1,no,no,40.0,2.0,1.0,2.0,4.0,139.0,127.0,400000.0,350000.0,Departamento,-34.58856,-58.43053,3106.314177500735
1,no,no,80.0,5.0,1.0,4.0,11.0,532.0,502.0,,265000.0,Casa,-32.942036,-60.6490132,1600.1286449399659
1,no,no,12.0,4.0,8.0,3.0,5.0,620.0,200.0,620000.0,445000.0,Casa,-34.41427,-58.65171,1480.0104028410517
1,no,no,0.0,3.0,,2.0,4.0,115.0,102.0,,330393.0,Departamento,-34.60001,-58.44735,2161.0404044150323
1,no,no,0.0,3.0,,3.0,4.0,163.0,136.0,,557400.0,Departamento,-34.62264,-58.44104,2440.799957332051
1,no,no,0.0,3.0,2.0,2.0,5.0,180.0,180.0,175000.0,260000.0,Casa,-32.47661,-61.58041,
1,no,no,25.0,2.0,2.0,2.0,4.0,105.0,105.0,500000.0,400000.0,Departamento,-34.5732377,-58.4291075,3138.5580870279146
1,no,no,50.0,2.0,,1.0,3.0,64.0,58.0,25000.0,65000.0,Departamento,-34.92145,-57.95453,721.7774016715094
1,no,no,0.0,1.0,1.0,1.0,2.0,67.0,67.0,9000.0,70000.0,Departamento,,,
1,no,no,0.0,3.0,1.0,3.0,4.0,230.0,159.0,,265000.0,Casa,-34.49007,-58.83109,1056.6037735849056
1,no,no,0.0,2.0,,2.0,3.0,110.0,110.0,,318000.0,Departamento,-32.9310442,-60.6562262,2303.812544045102
1,no,no,3.0,2.0,,1.0,3.0,76.0,61.0,84000.0,140000.0,Departamento,-34.57072,-58.52436,
1,no,no,10.0,1.0,,1.0,1.0,33.0,29.0,100000.0,75000.0,Departamento,-34.63814,-58.50273,1089.6167116711672
1,no,no,0.0,1.0,1.0,1.0,2.0,40.0,34.0,,99000.0,Departamento,-34.84787,-58.52869,892.3456790123456
1,no,no,50.0,3.0,,2.0,4.0,166.0,140.0,35000.0,195000.0,PH,-34.61032,-58.39766,1546.376811594203
1,no,no,0.0,,,1.0,1.0,32.0,28.0,80000.0,87300.0,Departamento,-34.60001,-58.44735,2175.5261652845975
1,no,no,0.0,2.0,,1.0,3.0,58.0,55.0,,164200.0,Departamento,-34.54955,-58.46684,2953.142584524108
1,no,no,0.0,2.0,1.0,2.0,3.0,95.0,85.0,,280000.0,Departamento,-38.00228,-57.55754,1797.617245881735
1,no,no,35.0,4.0,3.0,3.0,5.0,173.0,147.0,,265000.0,Casa,-34.6291193,-58.6711001,1120.0829548121585
1,no,no,,2.0,1.0,3.0,5.0,163.0,134.0,,230000.0,Casa,-34.6276756,-58.6737682,1110.7589942060117
1,no,no,0.0,3.0,2.0,3.0,4.0,150.0,120.0,,215000.0,Casa,-34.6151483,-58.6955896,1218.1181617099282
1,no,no,,3.0,2.0,3.0,4.0,110.0,110.0,,230000.0,Casa,-34.6217408,-58.6995709,920.8198379034269
1,no,no,14.0,3.0,1.0,2.0,5.0,137.0,137.0,607000.0,250000.0,Casa,-34.0,-64.0,1169.3749263593909
1,no,no,14.0,2.0,1.0,2.0,4.0,180.0,120.0,350000.0,230000.0,Casa,-34.65582,-58.65836,1326.3532545296416
2,no,no,20.0,3.0,2.0,2.0,5.0,150.0,300.0,,250000.0,Casa,-34.0,-64.0,1185.1900115175417
1,no,no,50.0,4.0,1.0,2.0,5.0,150.0,150.0,,300000.0,Casa,-34.65582,-58.65836,1296.9881751645623
1,no,no,0.0,3.0,,1.0,4.0,130.0,100.0,,210000.0,Casa,-34.65582,-58.65836,1296.9881751645623
1,no,no,40.0,3.0,2.0,2.0,4.0,200.0,160.0,,230000.0,Casa,-34.65582,-58.65836,1339.1310323074192
1,no,no,15.0,3.0,1.0,2.0,4.0,146.0,146.0,,280000.0,Casa,-34.6110155,-58.7043033,1027.3867279363615
1,no,no,8.0,3.0,2.0,3.0,4.0,160.0,160.0,,250000.0,Casa,-34.6266443,-58.6902047,638.543966151582
1,no,no,13.0,3.0,1.0,3.0,4.0,131.0,131.0,,280000.0,Casa,-34.0,-64.0,1138.1162201689413
1,no,no,0.0,3.0,2.0,3.0,4.0,180.0,180.0,,270000.0,Casa,-34.0,-64.0,1138.1162201689413
1,no,no,,4.0,2.0,4.0,5.0,160.0,160.0,,210000.0,Casa,-34.65582,-58.65836,1296.9881751645623
1,no,no,50.0,2.0,1.0,1.0,3.0,200.0,80.0,,230000.0,Casa,-34.65582,-58.65836,1296.9881751645623
1,no,no,15.0,3.0,2.0,2.0,4.0,180.0,180.0,350000.0,295000.0,Casa,-34.6276756,-58.6737682,1085.4427781944992
1,no,no,0.0,3.0,2.0,1.0,4.0,570.0,90.0,,110000.0,Casa,-34.6704848,-58.4218711,
1,no,no,13.0,3.0,1.0,2.0,4.0,203.0,103.0,,133000.0,Casa,-32.9276874,-60.7280701,
1,no,no,9.0,1.0,,1.0,1.0,34.0,31.0,86300.0,73000.0,Departamento,-34.61237,-58.38341,1546.376811594203
1,no,no,0.0,3.0,2.0,2.0,5.0,850.0,162.0,550000.0,210000.0,Casa,-35.27369,-58.40378,
1,no,no,0.0,2.0,,2.0,3.0,79.0,72.0,216000.0,239000.0,Departamento,-34.5211169,-58.4854444,1954.2124542124543
1,no,no,19.0,2.0,,1.0,3.0,61.0,61.0,75000.0,119900.0,Departamento,-38.0048213,-57.5453572,
1,no,no,8.0,2.0,1.0,1.0,3.0,105.0,62.0,,70000.0,Casa,,,
1,no,no,3.0,4.0,2.0,4.0,7.0,247.0,247.0,,445000.0,Casa,-34.3507607,-58.756892,
1,no,no,80.0,2.0,,2.0,3.0,76.0,76.0,100000.0,189000.0,PH,-34.5924769,-58.4111395,2485.280400992084
1,no,no,2.0,3.0,4.0,3.0,4.0,800.0,220.0,,470000.0,Casa,-33.85,-66.38333,380.24995141405253
1,no,no,50.0,2.0,1.0,,3.0,150.0,108.0,,55000.0,Casa,-34.0,-64.0,1138.1162201689413
1,no,no,45.0,2.0,1.0,2.0,3.0,87.0,79.0,160000.0,165000.0,Departamento,-34.5849742,-58.5085297,1753.899537343027
1,no,no,4.0,2.0,,2.0,3.0,90.0,80.0,,232000.0,Departamento,-34.5979571,-58.410972,2397.732300725744
1,no,no,15.0,3.0,1.0,2.0,4.0,110.0,96.0,300000.0,159999.0,Departamento,-34.6083534,-58.5522925,
1,no,no,0.0,3.0,,2.0,4.0,133.0,102.0,38000.0,439000.0,Departamento,-34.54955,-58.46684,2886.040099246876
1,no,no,30.0,1.0,,1.0,2.0,37.0,37.0,,48000.0,Departamento,-34.5861782,-58.5756006,349.75
1,no,no,38.0,3.0,1.0,3.0,4.0,145.0,126.0,495600.0,420000.0,Departamento,-34.5627,-58.45829,2458.2010018364376
1,no,no,30.0,4.0,2.0,5.0,6.0,476.0,283.0,,250000.0,Casa,-34.5864498,-58.6209271,
1,no,no,8.0,3.0,,2.0,4.0,980.0,192.0,600.0,235000.0,Casa,-33.85,-66.38333,429.9219630758601
1,no,no,0.0,4.0,2.0,2.0,5.0,207.0,207.0,300000.0,399999.0,Casa,-34.87835,-58.51054,300.4926108374384
1,no,no,8.0,1.0,1.0,2.0,2.0,85.0,64.0,,206000.0,Departamento,,,
1,no,no,0.0,,,1.0,2.0,41.0,41.0,,121700.0,Departamento,-34.5753591,-58.4401511,2511.3361852097873
1,no,no,0.0,3.0,2.0,3.0,4.0,188.0,170.0,,340300.0,Casa,-34.65582,-58.65836,1273.120394009547
1,no,no,20.0,3.0,2.0,2.0,5.0,150.0,300.0,,250000.0,Casa,-34.0,-64.0,1138.1162201689413
1,no,no,21.0,3.0,,2.0,4.0,194.0,169.0,,349000.0,Casa,-34.0,-64.0,1138.1162201689413
2,no,no,0.0,3.0,2.0,2.0,4.0,250.0,150.0,,270000.0,Casa,-34.65582,-58.65836,1296.9881751645623
1,no,no,15.0,3.0,3.0,2.0,4.0,257.0,180.0,,350000.0,Casa,-34.6484981,-58.665264,772.5109410810229
1,no,no,8.0,3.0,2.0,3.0,4.0,240.0,140.0,,250000.0,Casa,-34.65582,-58.65836,1296.9881751645623
1,no,no,,3.0,2.0,3.0,4.0,180.0,180.0,,230000.0,Casa,-34.65582,-58.65836,1296.9881751645623
1,no,no,2.0,3.0,2.0,3.0,3.0,140.0,110.0,,220000.0,Casa,-34.65582,-58.65836,1296.9881751645623
1,no,no,18.0,3.0,1.0,3.0,4.0,182.0,142.0,,270000.0,Casa,-34.0,-64.0,1138.1162201689413
1,no,no,15.0,2.0,,1.0,3.0,50.0,50.0,,52000.0,Departamento,-34.6518233,-58.5709259,2833.3333333333335
1,no,no,50.0,2.0,,1.0,3.0,58.0,54.0,89000.0,85000.0,Departamento,-34.6256377,-58.4040121,2581.7763157894738
1,no,no,7.0,2.0,,1.0,3.0,85.0,52.0,,155000.0,PH,-34.58333,-58.5,1816.2912053506784
1,no,no,0.0,4.0,2.0,3.0,6.0,250.0,210.0,,415000.0,Casa,,,
1,no,no,0.0,4.0,4.0,4.0,5.0,860.0,240.0,500000.0,296000.0,Casa,-33.85,-66.38333,415.0090876266771
1,no,no,17.0,4.0,4.0,3.0,5.0,300.0,240.0,390000.0,340000.0,Casa,46.40624,14.65911,
1,no,no,50.0,2.0,,1.0,3.0,54.0,54.0,30000.0,115000.0,Departamento,-34.57365,-58.44924,2520.483047507619
1,no,no,3.0,3.0,2.0,3.0,4.0,230.0,190.0,,460000.0,Departamento,-31.35722,-64.25291,
1,no,no,0.0,2.0,2.0,2.0,4.0,140.0,111.0,,320000.0,Departamento,-31.3663414,-64.2565074,1756.7567567567567
1,no,no,60.0,3.0,,2.0,4.0,132.0,88.0,15000.0,249000.0,PH,-34.599635,-58.425209,2289.126061070387
1,no,no,,2.0,,1.0,3.0,82.0,56.0,221879.0,162500.0,Departamento,-34.58856,-58.43053,3159.9420069444973
1,no,no,50.0,3.0,,2.0,4.0,134.0,134.0,240000.0,250000.0,Departamento,-34.5921433,-58.3943165,2662.837379395238
1,no,no,10.0,2.0,2.0,2.0,3.0,82.0,68.0,118000.0,188000.0,Departamento,-34.5952,-58.48138,1418.4731934731935
1,no,no,37.0,2.0,,1.0,3.0,66.0,58.0,45000.0,89900.0,Departamento,-34.6029405,-58.540245,
1,no,no,30.0,2.0,,2.0,3.0,134.0,75.0,,55000.0,PH,,,
1,no,no,0.0,3.0,1.0,3.0,4.0,150.0,110.0,100000.0,410000.0,Departamento,-34.54955,-58.46684,2967.0998915848636
1,no,no,0.0,1.0,,1.0,2.0,60.0,53.0,,75000.0,Departamento,,,
1,no,no,24.0,,,1.0,1.0,22.0,22.0,,38900.0,Departamento,-32.9350778,-60.6476779,1789.2111185133622
1,no,no,0.0,2.0,,3.0,3.0,103.0,88.0,,242121.0,Departamento,,,
1,no,no,0.0,1.0,,1.0,2.0,54.0,48.0,,54000.0,Departamento,-31.4135,-64.18105,769.496229027119
1,no,no,10.0,4.0,1.0,4.0,5.0,300.0,300.0,,250000.0,Casa,-34.651496,-58.556644,891.8918918918919
1,no,no,38.0,3.0,1.0,2.0,5.0,200.0,100.0,430000.0,245000.0,Departamento,-34.5627,-58.45829,2625.3561742502307
